year,doy,date,block,treatment,tussock,moisture,TOC,TN,mbc,mbn,labile,nh4,no3,tfpa,po4,TRS,BG,NAG,PHOS,LAP,PHENOX,root_phos,CO2,soil_percentc,soil_percentn,leaf_percentc,leaf_percentn,rhizome_percentc,rhizome_percentn,root_percentc,root_percentn,soil_d15N,leaf_d15N
2012,146,2012-05-25,1,A.O,I,0.91121,770.7936427,90.53201892,5854.814941,325.8142999,22.89641961,3.909176886,4.469904185,14.51733854,14.98140267,,157.3843981,437.9784383,2680.534429,28.60061911,0.157991874,,2.342429915,44.48,1.231,,,,,,,,
2012,146,2012-05-25,1,C.N,I,0.857,340.6193202,52.02062952,6151.357659,247.211767,7.812136419,1.907401038,0,5.904735381,12.34543116,,295.1938062,192.8622262,2374.304505,15.90051566,0.10206217,,1.765853039,32.35,1.029,,,,,,,,
2012,146,2012-05-25,1,C.O,I,0.91492,988.7341093,67.07535342,8086.256245,595.4121071,10.35900124,0,4.667746646,5.691254596,15.54334142,,498.975559,515.0386983,3954.445571,37.17024871,0.11506651,,3.145468742,44.56,0.9503,,,,,,,,
2012,146,2012-05-25,2,A.N,I,0.73048,358.0357747,72.77468978,1690.389658,129.4512171,33.59035496,4.089767322,19.56558711,9.935000526,5.789946049,,119.0905293,84.51260021,229.1640206,6.268857842,0,,0.390787589,30.18,1.403,,,,,,,,
2012,146,2012-05-25,2,A.O,I,0.88685,706.6166832,101.2119654,7696.65875,614.4258316,56.88983452,4.003012999,46.02707645,6.85974507,14.84910223,,595.7595892,634.7610027,3387.082965,32.86354936,2.281009943,,2.774851617,42.38,1.364,,,,,,,,
2012,146,2012-05-25,2,C.N,I,0.85681,500.2265433,40.30816179,3612.778115,299.9295976,17.795401,0,14.86186233,2.93353867,8.222300884,,242.961425,78.19508431,2028.423636,2.861002105,0,,1.477326834,23.71,0.5013,,,,,,,,
2012,146,2012-05-25,3,A.N,I,0.89946,1123.641341,84.08740728,9609.682098,478.4415396,34.4270812,1.663322291,27.57765293,5.186105977,16.04066269,,231.5327187,373.3388022,1707.559954,32.56458,0.452573275,,3.169803354,44.24,0.9787,,,,,,,,
2012,146,2012-05-25,3,A.O,I,0.93895,1395.177592,110.010441,5424.836077,350.655898,32.66989622,5.712115636,15.75233059,11.20544999,12.06790066,,386.6206201,382.8219333,1900.25192,32.12993968,0.027032998,,2.528745556,41.94,0.7296,,,,,,,,
2012,146,2012-05-25,3,C.N,I,0.87958,877.2851293,132.2869396,2682.582048,203.8664512,29.47843923,12.95072164,0.96417229,15.5635453,9.684227123,,443.0794146,227.5615055,1483.028899,31.05060745,2.783827398,,1.640211235,37.92,1.495,,,,,,,,
2012,146,2012-05-25,3,C.O,I,0.91412,1309.835441,114.0647692,4678.125021,338.5002273,66.38687078,0,55.21169685,11.17517394,4.490648948,,81.1087692,464.2156899,3665.345335,48.77876333,0,,1.975177257,44.9,1.199,,,,,,,,
